record_id,location_id,source_id,time_of_record,visit_count,time_in_queue,assigned_employee_id
9483,AkHa00031,AkHa00031224,"2021-05-27 10:12:00",1,0,1
34196,AkHa00032,AkHa00032224,"2022-06-06 13:49:00",1,0,7
20128,AkHa00033,AkHa00033224,"2021-11-03 11:50:00",1,0,30
21138,AkHa00034,AkHa00034224,"2021-11-18 12:07:00",1,0,48
42018,AkHa00035,AkHa00035224,"2022-09-29 15:55:00",1,0,42
50812,AkHa00036,AkHa00036224,"2023-02-16 08:04:00",2,113,10
50912,AkHa00036,AkHa00036224,"2023-02-17 11:17:00",3,229,10
50761,AkHa00036,AkHa00036224,"2023-02-15 09:07:00",1,240,10
51103,AkHa00036,AkHa00036224,"2023-02-21 06:28:00",7,158,10
51028,AkHa00036,AkHa00036224,"2023-02-20 10:54:00",6,185,10
51268,AkHa00036,AkHa00036224,"2023-02-22 17:37:00",8,226,10
50974,AkHa00036,AkHa00036224,"2023-02-18 06:58:00",4,400,10
50993,AkHa00036,AkHa00036224,"2023-02-19 10:15:00",5,120,10
39696,AkHa00037,AkHa00037224,"2022-08-25 14:17:00",1,0,26
49967,AkHa00038,AkHa00038224,"2023-01-31 15:00:00",1,0,42
7482,AkHa00039,AkHa00039224,"2021-04-27 16:47:00",1,0,38
38638,AkHa00040,AkHa00040224,"2022-08-09 12:56:00",1,0,16
9909,AkHa00041,AkHa00041224,"2021-06-02 14:14:00",1,0,24
43552,AkHa00042,AkHa00042224,"2022-10-24 16:51:00",1,0,42
46128,AkHa00043,AkHa00043224,"2022-12-02 09:38:00",1,0,48
34915,AkHa00044,AkHa00044224,"2022-06-16 09:21:00",1,0,28
37030,AkHa00045,AkHa00045224,"2022-07-15 15:58:00",1,0,3
42192,AkHa00046,AkHa00046224,"2022-10-03 09:54:00",1,0,32
14683,AkHa00047,AkHa00047224,"2021-08-12 10:50:00",1,0,14
35623,AkHa00048,AkHa00048224,"2022-06-24 16:52:00",1,0,12
43188,AkHa00049,AkHa00049224,"2022-10-18 10:32:00",1,0,0
16828,AkHa00050,AkHa00050224,"2021-09-13 10:02:00",1,0,42
10493,AkHa00051,AkHa00051224,"2021-06-10 10:31:00",1,0,10
9768,AkHa00052,AkHa00052224,"2021-06-01 09:45:00",1,0,8
28869,AkHa00053,AkHa00053224,"2022-03-17 12:07:00",1,0,3
35939,AkHa00054,AkHa00054224,"2022-06-30 11:53:00",1,0,36
29700,AkHa00055,AkHa00055224,"2022-03-29 11:56:00",1,0,2
34001,AkHa00056,AkHa00056224,"2022-06-02 14:13:00",1,0,16
28720,AkHa00057,AkHa00057224,"2022-03-15 14:40:00",1,0,32
11935,AkHa00058,AkHa00058224,"2021-07-01 10:09:00",1,0,22
15106,AkHa00059,AkHa00059224,"2021-08-18 12:21:00",1,0,36
11440,AkHa00060,AkHa00060224,"2021-06-23 16:20:00",1,0,36
45459,AkHa00061,AkHa00061224,"2022-11-22 12:41:00",1,0,2
19989,AkHa00062,AkHa00062224,"2021-11-01 16:22:00",1,0,1
6811,AkHa00063,AkHa00063224,"2021-04-16 15:42:00",1,0,32
38678,AkHa00064,AkHa00064224,"2022-08-09 16:42:00",1,0,18
33321,AkHa00065,AkHa00065224,"2022-05-24 11:05:00",1,0,40
9079,AkHa00066,AkHa00066224,"2021-05-21 10:13:00",1,0,24
2073,AkHa00067,AkHa00067224,"2021-02-03 10:30:00",1,0,12
17343,AkHa00068,AkHa00068224,"2021-09-21 12:05:00",1,0,36
44165,AkHa00069,AkHa00069224,"2022-11-03 10:25:00",1,0,46
17,AkHa00070,AkHa00070224,"2021-01-01 11:42:00",1,0,40
15700,AkHa00071,AkHa00071224,"2021-08-27 10:25:00",1,0,40
37942,AkHa00072,AkHa00072224,"2022-07-29 11:35:00",1,0,12
13554,AkHa00073,AkHa00073224,"2021-07-26 13:12:00",1,0,38
22925,AkHa00074,AkHa00074224,"2021-12-16 10:56:00",1,0,48
46735,AkHa00075,AkHa00075224,"2022-12-12 09:05:00",1,0,18
25933,AkHa00076,AkHa00076224,"2022-01-31 13:45:00",1,0,6
26132,AkHa00077,AkHa00077224,"2022-02-03 11:15:00",1,0,48
30079,AkHa00078,AkHa00078224,"2022-04-04 11:57:00",1,0,40
49958,AkHa00079,AkHa00079224,"2023-01-31 13:39:00",1,0,42
39851,AkHa00080,AkHa00080224,"2022-08-29 09:30:00",1,0,42
13734,AkHa00081,AkHa00081224,"2021-07-28 16:30:00",1,0,12
2453,AkHa00082,AkHa00082224,"2021-02-09 12:44:00",1,0,8
24462,AkHa00083,AkHa00083224,"2022-01-07 15:09:00",1,0,7
36259,AkHa00084,AkHa00084224,"2022-07-05 12:15:00",1,16,36
19412,AkHa00085,AkHa00085224,"2021-10-22 13:27:00",1,0,7
31734,AkHa00086,AkHa00086224,"2022-04-29 11:16:00",1,0,1
5315,AkHa00087,AkHa00087224,"2021-03-25 09:35:00",1,0,16
12774,AkHa00088,AkHa00088224,"2021-07-14 11:24:00",1,0,34
34752,AkHa00089,AkHa00089224,"2022-06-14 13:04:00",1,0,2
30227,AkHa00090,AkHa00090224,"2022-04-06 10:34:00",7,34,5
30159,AkHa00090,AkHa00090224,"2022-04-05 12:15:00",6,53,5
30070,AkHa00090,AkHa00090224,"2022-04-04 11:24:00",5,62,5
30023,AkHa00090,AkHa00090224,"2022-04-03 06:21:00",4,12,5
30312,AkHa00090,AkHa00090224,"2022-04-07 12:28:00",8,40,5
29901,AkHa00090,AkHa00090224,"2022-03-31 15:30:00",1,45,5
30006,AkHa00090,AkHa00090224,"2022-04-02 08:54:00",3,63,5
29928,AkHa00090,AkHa00090224,"2022-04-01 09:18:00",2,50,5
23152,AkHa00091,AkHa00091224,"2021-12-20 12:14:00",1,0,40
45409,AkHa00092,AkHa00092224,"2022-11-21 14:55:00",1,0,30
15408,AkHa00093,AkHa00093224,"2021-08-23 13:19:00",1,0,5
18422,AkHa00094,AkHa00094224,"2021-10-07 13:07:00",1,0,28
32842,AkHa00095,AkHa00095224,"2022-05-16 11:00:00",1,0,0
58426,AkHa00096,AkHa00096224,"2023-06-13 11:15:00",1,0,14
38253,AkHa00097,AkHa00097224,"2022-08-03 11:44:00",1,0,12
8793,AkHa00098,AkHa00098224,"2021-05-17 14:50:00",1,0,32
2428,AkHa00099,AkHa00099224,"2021-02-09 09:14:00",1,0,16
29281,AkHa00100,AkHa00100224,"2022-03-23 11:35:00",1,0,36
27290,AkHa00101,AkHa00101224,"2022-02-21 15:52:00",1,0,5
15709,AkHa00102,AkHa00102224,"2021-08-27 11:49:00",1,0,24
51473,AkHa00103,AkHa00103224,"2023-02-27 12:57:00",1,240,28
51840,AkHa00103,AkHa00103224,"2023-03-04 08:24:00",6,183,28
51836,AkHa00103,AkHa00103224,"2023-03-03 18:02:00",5,141,28
51580,AkHa00103,AkHa00103224,"2023-03-01 06:47:00",3,88,28
51656,AkHa00103,AkHa00103224,"2023-03-02 06:22:00",4,237,28
51874,AkHa00103,AkHa00103224,"2023-03-05 14:10:00",7,179,28
51509,AkHa00103,AkHa00103224,"2023-02-28 07:42:00",2,186,28
51950,AkHa00103,AkHa00103224,"2023-03-06 18:52:00",8,387,28
45096,AkHa00104,AkHa00104224,"2022-11-16 13:41:00",1,0,30
19340,AkHa00105,AkHa00105224,"2021-10-21 16:13:00",1,0,28
13413,AkHa00106,AkHa00106224,"2021-07-23 11:49:00",1,0,30
53765,AkHa00107,AkHa00107224,"2023-03-31 14:20:00",1,0,7
7132,AkHa00108,AkHa00108224,"2021-04-22 11:55:00",1,0,12
14927,AkHa00109,AkHa00109224,"2021-08-16 09:53:00",1,0,12
25024,AkHa00110,AkHa00110224,"2022-01-17 11:57:00",1,0,40
9805,AkHa00111,AkHa00111224,"2021-06-01 13:14:00",1,0,22
42187,AkHa00112,AkHa00112224,"2022-10-03 09:13:00",1,0,5
4867,AkHa00113,AkHa00113224,"2021-03-17 16:57:00",1,0,14
50676,AkHa00114,AkHa00114224,"2023-02-13 14:04:00",1,0,48
15174,AkHa00115,AkHa00115224,"2021-08-19 12:01:00",1,0,42
25463,AkHa00116,AkHa00116224,"2022-01-24 10:33:00",1,0,42
20057,AkHa00117,AkHa00117224,"2021-11-02 13:43:00",1,0,3
45866,AkHa00118,AkHa00118224,"2022-11-28 16:03:00",1,0,48
41829,AkHa00119,AkHa00119224,"2022-09-27 10:39:00",1,0,16
15543,AkHa00120,AkHa00120224,"2021-08-25 11:25:00",1,0,5
36282,AkHa00121,AkHa00121224,"2022-07-05 13:24:00",1,0,1
43329,AkHa00122,AkHa00122224,"2022-10-20 12:53:00",1,0,32
15411,AkHa00123,AkHa00123224,"2021-08-23 14:03:00",1,0,24
1955,AkHa00124,AkHa00124224,"2021-02-01 16:09:00",1,0,48
55905,AkHa00125,AkHa00125224,"2023-05-04 12:08:00",1,0,30
52538,AkHa00126,AkHa00126224,"2023-03-15 12:46:00",1,0,36
51238,AkHa00127,AkHa00127224,"2023-02-22 13:33:00",1,0,8
42002,AkHa00128,AkHa00128224,"2022-09-29 13:51:00",1,0,32
49471,AkHa00129,AkHa00129224,"2023-01-23 16:56:00",1,0,24
7367,AkHa00130,AkHa00130224,"2021-04-26 14:13:00",1,0,18
34153,AkHa00131,AkHa00131224,"2022-06-06 10:07:00",1,0,8
4934,AkHa00132,AkHa00132224,"2021-03-18 15:11:00",1,0,3
29084,AkHa00133,AkHa00133224,"2022-03-21 10:03:00",1,0,48
21442,AkHa00134,AkHa00134224,"2021-11-23 09:39:00",1,0,10
24907,AkHa00135,AkHa00135224,"2022-01-14 12:05:00",1,0,18
49785,AkHa00136,AkHa00136224,"2023-01-27 15:44:00",1,0,34
42101,AkHa00137,AkHa00137224,"2022-09-30 15:17:00",1,240,3
42464,AkHa00137,AkHa00137224,"2022-10-06 11:11:00",7,208,3
42156,AkHa00137,AkHa00137224,"2022-10-02 11:19:00",3,115,3
42260,AkHa00137,AkHa00137224,"2022-10-03 16:16:00",4,361,3
42144,AkHa00137,AkHa00137224,"2022-10-01 16:20:00",2,190,3
42299,AkHa00137,AkHa00137224,"2022-10-04 10:46:00",5,208,3
42378,AkHa00137,AkHa00137224,"2022-10-05 12:16:00",6,246,3
42594,AkHa00137,AkHa00137224,"2022-10-07 18:47:00",8,154,3
4404,AkHa00138,AkHa00138224,"2021-03-10 13:23:00",1,0,36
38111,AkHa00139,AkHa00139224,"2022-08-01 15:09:00",1,0,36
53638,AkHa00140,AkHa00140224,"2023-03-30 10:59:00",1,0,38
39115,AkHa00141,AkHa00141224,"2022-08-16 15:45:00",1,0,34
9863,AkHa00142,AkHa00142224,"2021-06-02 09:46:00",1,0,30
11902,AkHa00143,AkHa00143224,"2021-06-30 15:28:00",1,0,30
59058,AkHa00144,AkHa00144224,"2023-06-23 11:49:00",1,0,24
23907,AkHa00145,AkHa00145224,"2021-12-30 15:42:00",1,0,8
6698,AkHa00146,AkHa00146224,"2021-04-15 13:50:00",1,0,34
35535,AkHa00147,AkHa00147224,"2022-06-23 16:28:00",1,0,4
43841,AkHa00148,AkHa00148224,"2022-10-28 15:18:00",1,0,8
41743,AkHa00149,AkHa00149224,"2022-09-26 09:00:00",1,0,40
14839,AkHa00150,AkHa00150224,"2021-08-13 16:20:00",1,0,38
30284,AkHa00151,AkHa00151224,"2022-04-07 09:12:00",1,0,30
42268,AkHa00152,AkHa00152224,"2022-10-03 16:48:00",1,0,0
20913,AkHa00153,AkHa00153224,"2021-11-15 15:15:00",1,0,40
14089,AkHa00154,AkHa00154224,"2021-08-03 12:56:00",1,0,48
1516,AkHa00155,AkHa00155224,"2021-01-26 11:02:00",1,0,0
43944,AkHa00156,AkHa00156224,"2022-10-31 13:07:00",1,0,1
56289,AkHa00157,AkHa00157224,"2023-05-09 16:48:00",1,0,5
22943,AkHa00158,AkHa00158224,"2021-12-16 12:30:00",7,155,36
23039,AkHa00158,AkHa00158224,"2021-12-17 12:47:00",8,120,36
22796,AkHa00158,AkHa00158224,"2021-12-14 14:20:00",5,87,36
22657,AkHa00158,AkHa00158224,"2021-12-12 06:40:00",3,110,36
22890,AkHa00158,AkHa00158224,"2021-12-15 15:59:00",6,80,36
22700,AkHa00158,AkHa00158224,"2021-12-13 11:02:00",4,209,36
22604,AkHa00158,AkHa00158224,"2021-12-10 13:30:00",1,172,36
22635,AkHa00158,AkHa00158224,"2021-12-11 06:27:00",2,192,36
21460,AkHa00159,AkHa00159224,"2021-11-23 12:11:00",1,0,30
31667,AkHa00160,AkHa00160224,"2022-04-28 12:42:00",1,0,44
23304,AkHa00161,AkHa00161224,"2021-12-22 10:07:00",1,0,34
11194,AkHa00162,AkHa00162224,"2021-06-21 09:01:00",1,0,5
51278,AkHa00163,AkHa00163224,"2023-02-23 09:54:00",1,0,6
35943,AkHa00164,AkHa00164224,"2022-06-30 12:25:00",1,0,7
3082,AkHa00165,AkHa00165224,"2021-02-18 13:13:00",1,0,10
59510,AkHa00166,AkHa00166224,"2023-06-30 09:06:00",1,0,40
47149,AkHa00167,AkHa00167224,"2022-12-16 16:50:00",1,0,32
56724,AkHa00168,AkHa00168224,"2023-05-17 09:01:00",1,0,6
12408,AkHa00169,AkHa00169224,"2021-07-08 12:36:00",1,0,28
31011,AkHa00170,AkHa00170224,"2022-04-19 12:32:00",1,0,8
35014,AkHa00171,AkHa00171224,"2022-06-17 09:44:00",1,0,8
41191,AkHa00172,AkHa00172224,"2022-09-16 15:15:00",1,0,48
54788,AkHa00173,AkHa00173224,"2023-04-17 16:55:00",1,0,36
31073,AkHa00174,AkHa00174224,"2022-04-20 10:40:00",1,0,5
39519,AkHa00175,AkHa00175224,"2022-08-23 12:26:00",1,0,24
42672,AkHa00176,AkHa00176224,"2022-10-10 11:44:00",1,0,42
53552,AkHa00177,AkHa00177224,"2023-03-29 12:42:00",1,0,2
58069,AkHa00178,AkHa00178224,"2023-06-07 13:16:00",1,0,12
3258,AkHa00179,AkHa00179224,"2021-02-22 11:11:00",1,0,28
45976,AkHa00180,AkHa00180224,"2022-11-30 10:30:00",1,9,10
58756,AkHa00181,AkHa00181224,"2023-06-19 09:57:00",1,0,32
32262,AkHa00182,AkHa00182224,"2022-05-06 13:27:00",1,0,40
37723,AkHa00183,AkHa00183224,"2022-07-26 15:19:00",1,0,40
39902,AkHa00184,AkHa00184224,"2022-08-29 14:49:00",1,0,42
40386,AkHa00185,AkHa00185224,"2022-09-05 13:09:00",1,0,18
29951,AkHa00186,AkHa00186224,"2022-04-01 12:33:00",1,0,5
35411,AkHa00187,AkHa00187224,"2022-06-22 12:55:00",1,0,28
45116,AkHa00188,AkHa00188224,"2022-11-16 16:12:00",1,22,4
52846,AkHa00189,AkHa00189224,"2023-03-20 14:05:00",1,0,38
5189,AkHa00190,AkHa00190224,"2021-03-23 10:51:00",1,0,36
22366,AkHa00191,AkHa00191224,"2021-12-07 12:10:00",1,0,1
47338,AkHa00192,AkHa00192224,"2022-12-20 14:27:00",1,0,28
25090,AkHa00193,AkHa00193224,"2022-01-18 10:18:00",1,0,8
14436,AkHa00194,AkHa00194224,"2021-08-09 11:41:00",1,0,24
21572,AkHa00195,AkHa00195224,"2021-11-24 14:58:00",1,0,2
51146,AkHa00196,AkHa00196224,"2023-02-21 12:48:00",1,0,12
9728,AkHa00197,AkHa00197224,"2021-05-31 13:33:00",1,0,16
30275,AkHa00198,AkHa00198224,"2022-04-06 16:33:00",1,0,2
37866,AkHa00199,AkHa00199224,"2022-07-28 12:30:00",1,0,5
32128,AkHa00200,AkHa00200224,"2022-05-05 09:43:00",1,0,5
7225,AkHa00201,AkHa00201224,"2021-04-23 12:44:00",1,0,2
49912,AkHa00202,AkHa00202224,"2023-01-30 16:06:00",1,23,5
51164,AkHa00203,AkHa00203224,"2023-02-21 15:02:00",1,0,42
4095,AkHa00204,AkHa00204224,"2021-03-05 12:21:00",1,0,3
33927,AkHa00205,AkHa00205224,"2022-06-01 16:19:00",1,0,36
28307,AkHa00206,AkHa00206224,"2022-03-09 13:24:00",1,0,34
57091,AkHa00207,AkHa00207224,"2023-05-23 12:04:00",1,0,30
42439,AkHa00208,AkHa00208224,"2022-10-06 09:30:00",1,0,7
155,AkHa00209,AkHa00209224,"2021-01-05 11:52:00",1,0,30
39160,AkHa00210,AkHa00210224,"2022-08-17 10:35:00",1,0,42
46136,AkHa00211,AkHa00211224,"2022-12-02 10:14:00",1,0,40
27245,AkHa00212,AkHa00212224,"2022-02-21 11:19:00",1,0,48
42527,AkHa00213,AkHa00213224,"2022-10-07 09:22:00",1,0,14
30484,AkHa00214,AkHa00214224,"2022-04-11 10:20:00",1,0,32
12485,AkHa00215,AkHa00215224,"2021-07-09 11:35:00",1,0,10
3327,AkHa00216,AkHa00216224,"2021-02-23 09:27:00",1,0,24
13412,AkHa00217,AkHa00217224,"2021-07-23 11:48:00",1,0,30
34715,AkHa00218,AkHa00218224,"2022-06-14 09:51:00",1,0,28
34911,AkHa00219,AkHa00219224,"2022-06-16 09:00:00",1,0,30
19588,AkHa00220,AkHa00220224,"2021-10-26 14:18:00",1,0,16
4494,AkHa00221,AkHa00221224,"2021-03-11 16:00:00",1,0,32
38317,AkHa00222,AkHa00222224,"2022-08-04 09:13:00",1,0,22
9004,AkHa00223,AkHa00223224,"2021-05-20 11:20:00",1,0,24
16099,AkHa00224,AkHa00224224,"2021-09-01 15:14:00",1,0,46
51247,AkHa00225,AkHa00225224,"2023-02-22 14:31:00",1,0,1
29286,AkHa00226,AkHa00226224,"2022-03-23 11:53:00",1,0,7
6635,AkHa00227,AkHa00227224,"2021-04-14 15:45:00",1,0,3
47714,AkHa00228,AkHa00228224,"2022-12-26 13:16:00",1,0,5
14304,AkHa00229,AkHa00229224,"2021-08-06 10:18:00",1,0,12
8758,AkHa00230,AkHa00230224,"2021-05-17 11:12:00",1,0,7
35917,AkHa00231,AkHa00231224,"2022-06-30 10:38:00",1,0,10
14306,AkHa00232,AkHa00232224,"2021-08-06 10:35:00",1,8,46
22522,AkHa00233,AkHa00233224,"2021-12-09 13:49:00",1,0,32
45885,AkHa00234,AkHa00234224,"2022-11-29 09:42:00",1,0,2
58671,AkHa00235,AkHa00235224,"2023-06-16 13:32:00",1,0,0
38128,AkHa00236,AkHa00236224,"2022-08-01 18:48:00",5,292,32
38030,AkHa00236,AkHa00236224,"2022-07-31 09:42:00",4,105,32
38332,AkHa00236,AkHa00236224,"2022-08-04 11:08:00",8,150,32
38001,AkHa00236,AkHa00236224,"2022-07-30 07:52:00",3,261,32
37920,AkHa00236,AkHa00236224,"2022-07-29 07:12:00",2,291,32
38227,AkHa00236,AkHa00236224,"2022-08-03 08:48:00",7,102,32
37883,AkHa00236,AkHa00236224,"2022-07-28 13:56:00",1,213,32
38149,AkHa00236,AkHa00236224,"2022-08-02 10:56:00",6,100,32
39858,AkHa00237,AkHa00237224,"2022-08-29 10:11:00",1,0,10
43572,AkHa00238,AkHa00238224,"2022-10-25 10:20:00",1,0,34
32142,AkHa00239,AkHa00239224,"2022-05-05 11:06:00",1,0,40
9704,AkHa00240,AkHa00240224,"2021-05-31 10:41:00",1,0,8
26211,AkHa00241,AkHa00241224,"2022-02-04 09:55:00",1,0,36
32885,AkHa00242,AkHa00242224,"2022-05-16 16:36:00",1,0,5
59231,AkHa00243,AkHa00243224,"2023-06-26 16:28:00",1,0,48
58769,AkHa00244,AkHa00244224,"2023-06-19 10:57:00",1,0,36
46342,AkHa00245,AkHa00245224,"2022-12-06 09:24:00",1,0,46
34781,AkHa00246,AkHa00246224,"2022-06-14 16:18:00",1,0,48
41310,AkHa00247,AkHa00247224,"2022-09-19 12:59:00",1,0,30
41519,AkHa00248,AkHa00248224,"2022-09-21 16:28:00",1,13,24
39897,AkHa00249,AkHa00249224,"2022-08-29 13:50:00",1,0,10
32467,AkHa00250,AkHa00250224,"2022-05-10 11:15:00",1,0,24
53527,AkHa00251,AkHa00251224,"2023-03-29 09:59:00",1,26,36
22021,AkHa00252,AkHa00252224,"2021-12-01 16:05:00",1,0,30
39067,AkHa00253,AkHa00253224,"2022-08-16 10:28:00",1,0,40
16047,AkHa00254,AkHa00254224,"2021-09-01 10:49:00",1,0,38
56846,AkHa00255,AkHa00255224,"2023-05-18 14:49:00",1,0,36
36192,AkHa00256,AkHa00256224,"2022-07-04 14:37:00",1,0,40
34531,AkHa00257,AkHa00257224,"2022-06-10 14:29:00",1,0,6
32111,AkHa00258,AkHa00258224,"2022-05-04 16:48:00",1,0,8
14011,AkHa00259,AkHa00259224,"2021-08-02 14:11:00",5,343,28
13932,AkHa00259,AkHa00259224,"2021-07-31 15:03:00",3,251,28
14107,AkHa00259,AkHa00259224,"2021-08-03 14:34:00",6,206,28
14129,AkHa00259,AkHa00259224,"2021-08-04 08:55:00",7,202,28
14245,AkHa00259,AkHa00259224,"2021-08-05 12:19:00",8,254,28
13940,AkHa00259,AkHa00259224,"2021-08-01 08:01:00",4,152,28
13889,AkHa00259,AkHa00259224,"2021-07-30 15:24:00",2,129,28
13795,AkHa00259,AkHa00259224,"2021-07-29 14:04:00",1,240,28
50042,AkHa00260,AkHa00260224,"2023-02-01 16:22:00",1,0,38
39203,AkHa00261,AkHa00261224,"2022-08-17 15:47:00",1,0,30
22570,AkHa00262,AkHa00262224,"2021-12-10 09:38:00",1,0,16
40923,AkHa00263,AkHa00263224,"2022-09-13 13:31:00",5,228,14
41185,AkHa00263,AkHa00263224,"2022-09-16 14:50:00",8,197,14
41066,AkHa00263,AkHa00263224,"2022-09-15 11:06:00",7,118,14
40983,AkHa00263,AkHa00263224,"2022-09-14 11:23:00",6,161,14
40797,AkHa00263,AkHa00263224,"2022-09-11 14:01:00",3,177,14
40707,AkHa00263,AkHa00263224,"2022-09-09 11:28:00",1,240,14
40863,AkHa00263,AkHa00263224,"2022-09-12 15:31:00",4,239,14
40771,AkHa00263,AkHa00263224,"2022-09-10 13:47:00",2,210,14
31925,AkHa00264,AkHa00264224,"2022-05-02 15:48:00",1,0,14
33041,AkHa00265,AkHa00265224,"2022-05-18 16:14:00",1,0,10
10783,AkHa00266,AkHa00266224,"2021-06-14 13:49:00",1,0,30
3304,AkHa00267,AkHa00267224,"2021-02-22 15:51:00",1,0,12
24287,AkHa00268,AkHa00268224,"2022-01-05 13:09:00",1,0,26
49740,AkHa00269,AkHa00269224,"2023-01-27 10:58:00",1,0,40
31429,AkHa00270,AkHa00270224,"2022-04-25 15:20:00",1,0,12
22899,AkHa00271,AkHa00271224,"2021-12-15 16:51:00",1,0,3
55505,AkHa00272,AkHa00272224,"2023-04-28 10:34:00",1,0,26
30833,AkHa00273,AkHa00273224,"2022-04-15 15:11:00",1,0,3
55531,AkHa00274,AkHa00274224,"2023-04-28 13:25:00",1,0,28
44294,AkHa00275,AkHa00275224,"2022-11-04 14:16:00",1,0,3
3434,AkHa00276,AkHa00276224,"2021-02-24 10:30:00",1,0,12
8798,AkHa00277,AkHa00277224,"2021-05-17 15:57:00",1,0,1
35748,AkHa00278,AkHa00278224,"2022-06-28 09:12:00",1,0,8
25392,AkHa00279,AkHa00279224,"2022-01-21 16:19:00",1,0,34
42875,AkHa00280,AkHa00280224,"2022-10-12 13:53:00",1,29,16
3539,AkHa00281,AkHa00281224,"2021-02-25 13:03:00",1,0,40
50482,AkHa00282,AkHa00282224,"2023-02-09 12:45:00",1,0,1
37630,AkHa00283,AkHa00283224,"2022-07-25 13:42:00",1,0,1
53899,AkHa00284,AkHa00284224,"2023-04-03 14:51:00",1,0,2
36493,AkHa00285,AkHa00285224,"2022-07-07 16:50:00",1,0,48
22319,AkHa00286,AkHa00286224,"2021-12-06 14:51:00",1,0,6
7681,AkHa00287,AkHa00287224,"2021-04-30 09:16:00",1,0,48
51708,AkHa00288,AkHa00288224,"2023-03-02 13:59:00",1,0,6
58653,AkHa00289,AkHa00289224,"2023-06-16 11:03:00",1,0,18
28738,AkHa00290,AkHa00290224,"2022-03-15 16:37:00",1,0,3
42867,AkHa00291,AkHa00291224,"2022-10-12 13:15:00",1,23,18
53048,AkHa00292,AkHa00292224,"2023-03-22 15:43:00",1,0,40
3380,AkHa00293,AkHa00293224,"2021-02-23 14:48:00",1,0,3
37362,AkHa00294,AkHa00294224,"2022-07-21 10:45:00",1,0,34
39881,AkHa00295,AkHa00295224,"2022-08-29 12:36:00",1,0,40
36401,AkHa00296,AkHa00296224,"2022-07-06 15:48:00",1,0,8
26868,AkHa00297,AkHa00297224,"2022-02-14 16:52:00",1,0,42
21207,AkHa00298,AkHa00298224,"2021-11-19 10:07:00",1,0,36
50635,AkHa00299,AkHa00299224,"2023-02-13 10:11:00",1,0,34
56799,AkHa00300,AkHa00300224,"2023-05-18 09:15:00",1,0,3
46887,AkHa00301,AkHa00301224,"2022-12-13 15:20:00",1,0,42
20586,AkHa00302,AkHa00302224,"2021-11-10 10:00:00",1,0,1
43141,AkHa00303,AkHa00303224,"2022-10-17 12:55:00",1,0,40
42414,AkHa00304,AkHa00304224,"2022-10-05 15:58:00",1,0,34
35687,AkHa00305,AkHa00305224,"2022-06-27 10:11:00",1,0,34
46545,AkHa00306,AkHa00306224,"2022-12-08 11:57:00",1,0,34
20016,AkHa00307,AkHa00307224,"2021-11-02 09:51:00",1,0,40
23695,AkHa00308,AkHa00308224,"2021-12-28 09:46:00",1,0,28
30958,AkHa00309,AkHa00309224,"2022-04-18 16:32:00",1,0,26
